Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
2007,1    ,1         ,1        ,1232   ,1225      ,1341   ,1340      ,WN           ,2891     ,N351   ,69               ,75            ,54     ,1       ,7       ,SMF   ,ONT ,389     ,4     ,11     ,0        ,                ,0       ,0           ,0           ,0       ,0            ,0
2007,1    ,1         ,1        ,1918   ,1905      ,2043   ,2035      ,WN           ,462      ,N370   ,85               ,90            ,74     ,8       ,13      ,SMF   ,PDX ,479     ,5     ,6      ,0        ,                ,0       ,0           ,0           ,0       ,0            ,0
2007,1    ,1         ,1        ,2206   ,2130      ,2334   ,2300      ,WN           ,1229     ,N685   ,88               ,90            ,73     ,34      ,36      ,SMF   ,PDX ,479     ,6     ,9      ,0        ,                ,0       ,3           ,0           ,0       ,0            ,31
2007,1    ,1         ,1        ,1230   ,1200      ,1356   ,1330      ,WN           ,1355     ,N364   ,86               ,90            ,75     ,26      ,30      ,SMF   ,PDX ,479     ,3     ,8      ,0        ,                ,0       ,23          ,0           ,0       ,0            ,3
2007,1    ,1         ,1        ,831    ,830       ,957    ,1000      ,WN           ,2278     ,N480   ,86               ,90            ,74     ,-3      ,1       ,SMF   ,PDX ,479     ,3     ,9      ,0        ,                ,0       ,0           ,0           ,0       ,0            ,0
2007,1    ,1         ,1        ,1430   ,1420      ,1553   ,1550      ,WN           ,2386     ,N611SW ,83               ,90            ,74     ,3       ,10      ,SMF   ,PDX ,479     ,2     ,7      ,0        ,                ,0       ,0           ,0           ,0       ,0            ,0
2007,1    ,1         ,1        ,1936   ,1840      ,2217   ,2130      ,WN           ,409      ,N482   ,101              ,110           ,89     ,47      ,56      ,SMF   ,PHX ,647     ,5     ,7      ,0        ,                ,0       ,46          ,0           ,0       ,0            ,1
2007,1    ,1         ,1        ,944    ,935       ,1223   ,1225      ,WN           ,1131     ,N749SW ,99               ,110           ,86     ,-2      ,9       ,SMF   ,PHX ,647     ,4     ,9      ,0        ,                ,0       ,0           ,0           ,0       ,0            ,0
2007,1    ,1         ,1        ,1537   ,1450      ,1819   ,1735      ,WN           ,1212     ,N451   ,102              ,105           ,90     ,44      ,47      ,SMF   ,PHX ,647     ,5     ,7      ,0        ,                ,0       ,20          ,0           ,0       ,0            ,24
2007,1    ,1         ,1        ,1318   ,1315      ,1603   ,1610      ,WN           ,2456     ,N630WN ,105              ,115           ,92     ,-7      ,3       ,SMF   ,PHX ,647     ,5     ,8      ,0        ,                ,0       ,0           ,0           ,0       ,0            ,0
2007,1    ,1         ,1        ,836    ,835       ,1119   ,1130      ,WN           ,2575     ,N493   ,103              ,115           ,88     ,-11     ,1       ,SMF   ,PHX ,647     ,7     ,8      ,0        ,                ,0       ,0           ,0           ,0       ,0            ,0
2007,1    ,1         ,1        ,2047   ,1955      ,2332   ,2240      ,WN           ,2608     ,N733SW ,105              ,105           ,89     ,52      ,52      ,SMF   ,PHX ,647     ,7     ,9      ,0        ,                ,0       ,49          ,0           ,0       ,0            ,3
2007,1    ,1         ,1        ,2128   ,2035      ,2245   ,2200      ,WN           ,139      ,N348   ,77               ,85            ,66     ,45      ,53      ,SMF   ,SAN ,480     ,3     ,8      ,0        ,                ,0       ,0           ,0           ,3       ,0            ,42
2007,1    ,1         ,1        ,935    ,940       ,1048   ,1105      ,WN           ,747      ,N358   ,73               ,85            ,63     ,-17     ,-5      ,SMF   ,SAN ,480     ,2     ,8      ,0        ,                ,0       ,0           ,0           ,0       ,0            ,0
2007,1    ,1         ,1        ,1251   ,1245      ,1405   ,1410      ,WN           ,933      ,N413   ,74               ,85            ,65     ,-5      ,6       ,SMF   ,SAN ,480     ,2     ,7      ,0        ,                ,0       ,0           ,0           ,0       ,0            ,0
2007,1    ,1         ,1        ,1729   ,1645      ,1843   ,1810      ,WN           ,1054     ,N416   ,74               ,85            ,64     ,33      ,44      ,SMF   ,SAN ,480     ,3     ,7      ,0        ,                ,0       ,3           ,0           ,0       ,0            ,30
2007,1    ,1         ,1        ,825    ,825       ,941    ,950       ,WN           ,1106     ,N383SW ,76               ,85            ,63     ,-9      ,0       ,SMF   ,SAN ,480     ,3     ,10     ,0        ,                ,0       ,0           ,0           ,0       ,0            ,0
2007,1    ,1         ,1        ,1042   ,1040      ,1158   ,1205      ,WN           ,1554     ,N316SW ,76               ,85            ,66     ,-7      ,2       ,SMF   ,SAN ,480     ,2     ,8      ,0        ,                ,0       ,0           ,0           ,0       ,0            ,0
2007,1    ,1         ,1        ,1726   ,1725      ,1839   ,1850      ,WN           ,1604     ,N691WN ,73               ,85            ,63     ,-11     ,1       ,SMF   ,SAN ,480     ,3     ,7      ,0        ,                ,0       ,0           ,0           ,0       ,0            ,0
2007,1    ,1         ,1        ,1849   ,1820      ,2016   ,1940      ,WN           ,1975     ,N308SW ,87               ,80            ,69     ,36      ,29      ,SMF   ,SAN ,480     ,3     ,15     ,0        ,                ,0       ,20          ,0           ,7       ,0            ,9
2007,1    ,1         ,1        ,2219   ,2105      ,2332   ,2225      ,WN           ,2083     ,N205   ,73               ,80            ,62     ,67      ,74      ,SMF   ,SAN ,480     ,3     ,8      ,0        ,                ,0       ,0           ,0           ,0       ,0            ,67
2007,1    ,1         ,1        ,2012   ,1940      ,2131   ,2105      ,WN           ,2577     ,N603SW ,79               ,85            ,66     ,26      ,32      ,SMF   ,SAN ,480     ,3     ,10     ,0        ,                ,0       ,9           ,0           ,0       ,0            ,17
2007,1    ,1         ,1        ,1458   ,1455      ,1614   ,1620      ,WN           ,2587     ,N604SW ,76               ,85            ,65     ,-6      ,3       ,SMF   ,SAN ,480     ,2     ,9      ,0        ,                ,0       ,0           ,0           ,0       ,0            ,0
2007,1    ,1         ,1        ,1345   ,1345      ,1456   ,1510      ,WN           ,2643     ,N700GS ,71               ,85            ,62     ,-14     ,0       ,SMF   ,SAN ,480     ,2     ,7      ,0        ,                ,0       ,0           ,0           ,0       ,0            ,0
2007,1    ,1         ,1        ,715    ,720       ,836    ,845       ,WN           ,2755     ,N355   ,81               ,85            ,65     ,-9      ,-5      ,SMF   ,SAN ,480     ,2     ,14     ,0        ,                ,0       ,0           ,0           ,0       ,0            ,0
2007,1    ,1         ,1        ,2119   ,2100      ,2310   ,2250      ,WN           ,961      ,N771   ,111              ,110           ,94     ,20      ,19      ,SMF   ,SEA ,605     ,9     ,8      ,0        ,                ,0       ,19          ,0           ,1       ,0            ,0
2007,1    ,1         ,1        ,1530   ,1510      ,1714   ,1700      ,WN           ,1330     ,N469   ,104              ,110           ,91     ,14      ,20      ,SMF   ,SEA ,605     ,5     ,8      ,0        ,                ,0       ,0           ,0           ,0       ,0            ,0
2007,1    ,1         ,1        ,1045   ,1035      ,1240   ,1225      ,WN           ,1502     ,N327   ,115              ,110           ,104    ,15      ,10      ,SMF   ,SEA ,605     ,5     ,6      ,0        ,                ,0       ,6           ,0           ,5       ,0            ,4
2007,1    ,1         ,1        ,802    ,800       ,953    ,955       ,WN           ,2403     ,N304SW ,111              ,115           ,98     ,-2      ,2       ,SMF   ,SEA ,605     ,5     ,8      ,0        ,                ,0       ,0           ,0           ,0       ,0            ,0
2007,1    ,1         ,1        ,1415   ,1405      ,1529   ,1525      ,WN           ,976      ,N204   ,74               ,80            ,64     ,4       ,10      ,SMF   ,SNA ,404     ,4     ,6      ,0        ,                ,0       ,0           ,0           ,0       ,0            ,0
2007,1    ,1         ,1        ,1630   ,1630      ,1746   ,1750      ,WN           ,1146     ,N707SA ,76               ,80            ,60     ,-4      ,0       ,SMF   ,SNA ,404     ,6     ,10     ,0        ,                ,0       ,0           ,0           ,0       ,0            ,0
2007,1    ,1         ,1        ,1527   ,1525      ,1637   ,1645      ,WN           ,1240     ,N718SW ,70               ,80            ,60     ,-8      ,2       ,SMF   ,SNA ,404     ,4     ,6      ,0        ,                ,0       ,0           ,0           ,0       ,0            ,0
2007,1    ,1         ,1        ,731    ,735       ,844    ,900       ,WN           ,1488     ,N465   ,73               ,85            ,60     ,-16     ,-4      ,SMF   ,SNA ,404     ,5     ,8      ,0        ,                ,0       ,0           ,0           ,0       ,0            ,0
2007,1    ,1         ,1        ,1140   ,1140      ,1253   ,1300      ,WN           ,1596     ,N725   ,73               ,80            ,61     ,-7      ,0       ,SMF   ,SNA ,404     ,6     ,6      ,0        ,                ,0       ,0           ,0           ,0       ,0            ,0
2007,1    ,1         ,1        ,2002   ,1935      ,2115   ,2055      ,WN           ,1784     ,N711HK ,73               ,80            ,61     ,20      ,27      ,SMF   ,SNA ,404     ,2     ,10     ,0        ,                ,0       ,19          ,0           ,0       ,0            ,1
2007,1    ,1         ,1        ,946    ,950       ,1100   ,1115      ,WN           ,2806     ,N781   ,74               ,85            ,60     ,-15     ,-4      ,SMF   ,SNA ,404     ,3     ,11     ,0        ,                ,0       ,0           ,0           ,0       ,0            ,0
2007,1    ,1         ,1        ,1501   ,1455      ,1604   ,1555      ,WN           ,795      ,N781   ,63               ,60            ,46     ,9       ,6       ,SNA   ,LAS ,226     ,7     ,10     ,0        ,                ,0       ,0           ,0           ,0       ,0            ,0
2007,1    ,1         ,1        ,1233   ,1155      ,1342   ,1300      ,WN           ,851      ,N479   ,69               ,65            ,47     ,42      ,38      ,SNA   ,LAS ,226     ,15    ,7      ,0        ,                ,0       ,0           ,0           ,4       ,0            ,38
